,Mean,Std,Min,Max,Median
ra,4.347726530000613e-17,1.0017528497238353,-1.4380794970357813,2.2754288098163404,0.0825003372322446
dec,1.8633113700002628e-17,1.001752849723835,-1.4276755592838482,1.9926392047521346,0.09472490262412256
u,-2.7949670550003944e-17,1.001752849723835,-2.6640786810471195,3.6000811508841988,-0.035643459407201455
g,2.1738632650003065e-17,1.001752849723835,-3.032558450437351,2.4507446768628016,0.10979860696703858
r,2.0185873175002847e-17,1.001752849723835,-3.2168343440973866,2.0573642733158044,0.1147636446239372
i,-3.105518950000438e-17,1.001752849723835,-3.519384336016615,1.8305766039404676,0.1281592521791572
z,-1.3974835275001972e-17,1.001752849723835,-3.6102955973500994,2.099064798780632,0.0743342204146204
redshift,-7.763797375001095e-18,1.0017528497238353,-1.8935369811078107,3.9881410994191246,-0.17761881811482888
EP_8_FLUX,1.8633113700002628e-17,1.001752849723835,-0.4552425055776618,10.410627596337797,-0.25642347314283725
EP_1_FLUX,-6.211037900000876e-18,1.0017528497238353,-0.4069214320907102,9.470221920596718,-0.2350828572736813
